정류소명,정류소아이디(ID),승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
(구)국제여객터미널,35051,99,1671,21,1671,78,59
(구)국제여객터미널,35052,2374,44,2312,44,62,80
(주)경동세라믹스,89146,315,39,312,39,3,11
(주)경인양행앞,42096,973,814,957,814,16,59
(주)경인양행앞,42097,1452,3459,1424,3459,28,163
(주)대한특수금속,39050,1249,75,1246,75,3,44
(주)두남,39135,137,28,136,28,1,5
(주)세모입구(린나이코리아),37585,1382,1613,1382,1613,0,99
(주)세모입구(린나이코리아),40893,240,649,240,649,0,29
(주)스킨이데아,89388,163,138,162,138,1,10
(주)스킨이데아,89389,726,15,686,15,40,24
(주)씨피엔텍,39133,559,3559,558,3559,1,137
(주)씨피엔텍,39134,2358,381,2356,381,2,91
(주)창원,39029,3447,2911,3444,2911,3,211
(주)창원,39030,4114,3224,4114,3224,0,244
(주)하나금속,39124,9,22,9,22,0,1
17사단.다임메가타운,40895,1997,4540,1980,4540,17,217
17사단입구,40832,27,536,17,536,10,18
2001아울렛,40154,3498,5853,3460,5853,38,311
2001아울렛,40159,30061,13803,29691,13803,370,1462
2001아울렛,40162,11275,21322,11099,21322,176,1086
2001아울렛부평점,40158,5076,2654,4894,2654,182,257
2차풍림아이원,42584,45,11032,31,11032,14,369
3단지,40736,409,1758,384,1758,25,72
3단지관리사무소,40107,1998,543,1982,543,16,84
41번구종점,42174,1940,6323,1896,6323,44,275
510번차고지,36145,785,281,785,281,0,35
540번종점,39470,3560,20,3506,20,54,119
6공단사거리,37577,481,2571,476,2571,5,101
6공단입구,37442,624,1107,603,1107,21,57
6공단입구,37443,1275,1594,1231,1594,44,95
8부두,35181,302,2760,263,2760,39,102
8부두,35182,1750,4821,1685,4821,65,219
CJ인천2공장,35591,222,2944,205,2944,17,105
CJ인천2공장,35592,2235,67,2223,67,12,76
E편한세상,42453,3484,2592,3405,2592,79,202
E편한세상,42649,1330,2571,1320,2571,10,130
E편한세상,42726,2867,1402,2834,1402,33,142
GM물류센터,40568,503,1481,490,1481,13,66
GS25편의점,36142,988,2290,933,2290,55,109
GS내리주유소,44147,3,0,3,0,0,0
GS칼텍스,35168,594,59,573,59,21,21
GS칼텍스,35557,8,2406,8,2406,0,80
GS칼텍스,89220,54,121,49,121,5,5
GS칼텍스,89224,54,1710,52,1710,2,58
GS칼텍스주유소,39814,162,15,157,15,5,5
HD현대인프라코어,36081,775,1854,770,1854,5,87
HD현대인프라코어,36083,2555,1227,2518,1227,37,126
HD현대인프라코어후문,36077,45,803,10,803,35,28
HD현대인프라코어후문,36078,4220,845,4211,845,9,168
JC회관,37383,4327,4390,4251,4390,76,290
KCC아파트,42391,1430,1079,1399,1079,31,83
KG스틸,42008,2456,4466,2429,4466,27,230
KTX광명역4번출구,58057,1067,7,1067,7,0,35
KT부평지사,40381,10467,6475,10295,6475,172,564
KT부평지사,40384,6642,13023,6521,13023,121,655
KT서인천지사,42932,1596,2491,1562,2491,34,136
KT서인천지사,42933,1654,1017,1638,1017,16,89
KT송도지점,38568,518,331,501,331,17,28
KT온수분국,43523,655,315,632,315,23,32
KT인천공항지사,35095,350,66,348,66,2,13
KT인천공항지사,35109,7847,3408,7456,3408,391,375
KT인천지사,37415,6355,4656,6240,4656,115,367
KT인천지사,39319,8731,4327,8534,4327,197,435
KT중동지사,55081,844,186,839,186,5,34
KT중동지사,55082,197,1021,194,1021,3,40
LG마그나,89029,6260,1963,6243,1963,17,274
LG마그나,89264,2759,5505,2759,5505,0,275
LG물류센터,39043,316,95,316,95,0,13
LG물류센터,39044,51,435,51,435,0,16
LG아파트후문,42616,356,28,356,28,0,12
LG아파트후문,42617,4,170,4,170,0,5
LG전자(주),42297,4757,3374,4733,3374,24,271
LH1단지,35494,8634,3820,8493,3820,141,415
LH1단지,35495,4065,5764,3929,5764,136,327
LH49단지행복주택아파트,35768,538,805,534,805,4,44
LH49단지행복주택아파트,35769,1592,855,1566,855,26,81
LH7단지,35451,2763,2364,2661,2364,102,170
LH7단지,35452,2716,3107,2653,3107,63,194
LH미추홀3단지,37222,2890,6112,2729,6112,161,300
LH미추홀3단지,37635,6826,3151,6710,3151,116,332
